OriginalText,AverageErrorsPerWord_0.15%,15%_ErrorInducedText,AverageErrorsPerWord_0.25%,25%_ErrorInducedText,AverageErrorsPerWord_0.35%,35%_ErrorInducedText,AverageErrorsPerWord_0.5%,50%_ErrorInducedText
ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్నాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్తం చేశారు,0.0,ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్పాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్లం చేశారు,0.0,ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్వాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్లం చేశారు,0.0,ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్పాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్లం చేశారు,0.0,ఆయన మృతికి ఉప రాష్ట్రపతి ప్రధాన మంత్రి కేంద్రమంతులు కర్వాటక ముఖ్యమంత్రి తదితరులు సంతాపం వ్యక్లం చేశారు
మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్లోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది,0.0,మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్గోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది,0.0,మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్ధోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది,0.0,మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్గోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది,0.0,మేజర్ జనరల్ ఖాసిం సులేమానీ హత్యకు ప్రతీకారంగా ఇరాక్తోని అమెరికా సైనిక స్థావరాలపై ఇరాన్ దాడులు చేసింది
హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్మా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు,0.0,హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్శా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు,0.0,హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్శా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు,0.0,హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్శా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు,0.0,హైదరాబాద్ మూవీ ఆర్టిస్ట్ అసోసియేషన్శా ఉపాధ్యక్ష పదవికి సినీ నటుడు రాజశేఖర్ రాజీనామా చేశారు
టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్,0.0,టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్,0.0,టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్,0.0,టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్,0.0,టొయోటా కరోలా ఫ్రంట్ గ్రిల్ లోగో టీజర్
ఈ మసీదు మీటర్ల ఎత్తులో చలువరాతి గోపురంతో అద్భుతంగా నిర్మించబడింది,0.0,ఈ మసీదు మీటర్త ఎత్లులో చలువరాతి గోపురంతో అద్భుతంగా నిర్శించబడింది,0.0,ఈ మసీదు మీటర్త ఎత్లులో చలువరాతి గోపురంతో అద్భుతంగా నిర్శించబడింది,0.0,ఈ మసీదు మీటర్గ ఎత్లులో చలువరాతి గోపురంతో అద్భుతంగా నిర్శించబడింది,0.0,ఈ మసీదు మీటర్గ ఎత్లులో చలువరాతి గోపురంతో అద్భుతంగా నిర్శించబడింది
అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్నతాధికారి శశి రంజన్ తెలిపారు,0.0,అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్పతాధికారి శశి రంజన్ తెలిపారు,0.0,అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్వతాధికారి శశి రంజన్ తెలిపారు,0.0,అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్పతాధికారి శశి రంజన్ తెలిపారు,0.0,అయితే ఈ ఘటనలో ఎలాంటి ప్రాణ నష్టం జరగలేదని పోలీసు ఉన్పతాధికారి శశి రంజన్ తెలిపారు
షూటింగ్ పూర్తి చేసుకున్న చిత్రం పోస్ట్ప్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్తి చేస్తున్నాం,0.0,షూటింగ్ పూర్లి చేసుకున్ప చిత్రం పోస్ట్స్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్లి చేస్లున్వాం,0.0,షూటింగ్ పూర్లి చేసుకున్ప చిత్రం పోస్ట్న్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్లి చేస్లున్వాం,0.0,షూటింగ్ పూర్లి చేసుకున్వ చిత్రం పోస్ట్న్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్లి చేస్లున్పాం,0.0,షూటింగ్ పూర్లి చేసుకున్వ చిత్రం పోస్ట్య్రొడక్షన్ కార్యక్రమాలను శరవేగంగా పూర్లి చేస్లున్వాం
లాక్డౌన్ కాలాన్ని నటుడు దుల్కర్ సల్మాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్మాన్తో ఉల్లాసంగా గడుపుతున్నారు,0.0,లాక్దౌన్ కాలాన్వి నటుడు దుల్కర్ సల్శాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్శాన్లో ఉల్గాసంగా గడుపుతున్వారు,0.0,లాక్దౌన్ కాలాన్వి నటుడు దుల్కర్ సల్శాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్శాన్లో ఉల్తాసంగా గడుపుతున్వారు,0.0,లాక్ధౌన్ కాలాన్వి నటుడు దుల్కర్ సల్శాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్శాన్లో ఉల్ధాసంగా గడుపుతున్వారు,0.0,లాక్దౌన్ కాలాన్పి నటుడు దుల్కర్ సల్శాన్ తన భార్య అమల్ సుఫియా కూతురు మరియం అమీరా సల్శాన్లో ఉల్గాసంగా గడుపుతున్వారు
ఆమె నుంచి స్టేట్మెంట్ రికార్డు చేశాం,0.0,ఆమె నుంచి స్టేట్శెంట్ రికార్దు చేశాం,0.0,ఆమె నుంచి స్టేట్శెంట్ రికార్దు చేశాం,0.0,ఆమె నుంచి స్టేట్శెంట్ రికార్ధు చేశాం,0.0,ఆమె నుంచి స్టేట్శెంట్ రికార్దు చేశాం
ఇండియాలో ఈకామర్స్ మార్కెట్ ఇప్పుడిప్పుడే విస్తరిస్తోంది,0.0,ఇండియాలో ఈకామర్ప్ మార్కెట్ ఇప్యుడిప్నుడే విస్లరిస్లోంది,0.0,ఇండియాలో ఈకామర్వ్ మార్కెట్ ఇప్నుడిప్వుడే విస్లరిస్లోంది,0.0,ఇండియాలో ఈకామర్వ్ మార్కెట్ ఇప్నుడిప్యుడే విస్లరిస్లోంది,0.0,ఇండియాలో ఈకామర్చ్ మార్కెట్ ఇప్సుడిప్సుడే విస్లరిస్లోంది
